GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.schedular,test,0,7,0,0,0,2,0,2,0,2
Foyer,tn.esprit.spring.schedular,Schedular,0,3,0,0,0,1,0,1,0,1
Foyer,tn.esprit.spring.services.Etudiant,EtudiantService,0,35,0,0,0,8,0,6,0,6
Foyer,tn.esprit.spring.dao.entities,Universite,47,3,0,0,7,1,10,1,10,1
Foyer,tn.esprit.spring.dao.entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Chambre,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.dao.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Bloc,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.dao.entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.dao.entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.dao.entities,Etudiant,46,44,0,0,7,5,13,4,13,4
Foyer,tn.esprit.spring.dao.entities,Foyer,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.dao.entities,Bloc.BlocBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Etudiant.EtudiantBuilder,21,51,0,0,0,1,2,8,2,8
Foyer,tn.esprit.spring.aop,FoyerAspect,26,7,0,0,8,2,3,2,3,2
Foyer,tn.esprit.spring.services.Bloc,BlocService,165,15,10,0,38,1,13,1,8,1
Foyer,tn.esprit.spring.config,SpringDocConfig,0,166,0,0,0,45,0,11,0,11
Foyer,tn.esprit.spring.services.Chambre,ChambreService,417,13,46,0,73,2,35,2,11,2
Foyer,tn.esprit.spring.services.Foyer,FoyerService,140,12,4,0,30,1,11,1,9,1
Foyer,tn.esprit.spring.services.Reservation,ReservationService,315,16,18,0,65,2,20,2,10,2
Foyer,tn.esprit.spring,FoyerApplication,5,3,0,0,2,1,1,1,1,1
Foyer,tn.esprit.spring.restcontroller,FoyerRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.restcontroller,ReservationRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.restcontroller,BlocRestController,36,6,0,0,9,1,7,1,7,1
Foyer,tn.esprit.spring.restcontroller,ChambreRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.restcontroller,EtudiantRestController,24,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.restcontroller,UniversiteRestController,24,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.services.Universite,UniversiteService,29,6,0,0,7,1,5,1,5,1
